국어국문학과,11,97,8.82,6번,97.22,0.48,97.69,97.45,1.12,3.5,3.75,0.79
중어중문학과,11,135,12.27,9번,97.98,0.4,98.37,98.25,0.35,2.96,3.03,0.27
일어일문학과,10,99,9.9,0번,97.3,0.41,97.71,97.97,0.84,3.4,3.16,0.57
영어영문학과,15,277,18.47,14번,98.02,0.47,98.49,98.27,0.35,2.89,3.09,0.39
불어불문학과,9,91,10.11,0번,94.55,0.44,94.99,97.89,6.22,4.07,3.66,1.08
독어독문학과,16,179,11.19,7번,96.71,0.37,97.09,97.3,1.53,3.95,3.89,0.7
노어노문학과,10,103,10.3,5번,94.46,0.43,94.9,97.39,6,3.87,3.92,0.71
한문학과,6,92,15.33,3번,97.61,0.44,98.06,98.01,0.28,3.29,3.34,0.36
언어정보학과,8,87,10.88,4번,97.65,0.48,98.13,98.08,0.59,3.27,3.31,0.55
사학과,8,87,10.88,9번,98.03,0.46,98.49,98.52,0.28,2.92,2.85,0.31
철학과,7,104,14.86,9번,97.53,0.46,97.99,97.89,0.2,3.36,3.55,0.28
고고학과,7,151,21.57,4번,97.14,0.43,97.58,97.46,0.46,3.78,3.88,0.35
행정학과,12,244,20.33,12번,98.6,0.5,99.1,99.02,0.14,2.29,2.36,0.15
정치외교학과,11,130,11.82,14번,98.44,0.48,98.93,98.86,0.22,2.51,2.54,0.19
사회복지학과,10,103,10.3,8번,97.83,0.48,98.31,98.08,0.51,3.04,3.25,0.48
사회학과,11,128,11.64,16번,97.72,0.45,98.17,98.03,0.53,3.21,3.43,0.5
심리학과,10,197,19.7,8번,98.41,0.48,98.89,98.67,0.39,2.5,2.75,0.37
문헌정보학과,9,99,11,10번,98.33,0.5,98.83,98.74,0.29,2.61,2.71,0.3
미디어커뮤니케이션학과,11,155,14.09,12번,98.63,0.48,99.11,99.02,0.25,2.3,2.45,0.2
수학과,11,133,12.09,16번,98.36,0.48,98.84,98.75,0.22,2.64,2.65,0.2
통계학과,11,96,8.73,11번,98.21,0.5,98.71,98.6,0.3,2.78,2.83,0.36
물리학과,12,129,10.75,16번,97.69,0.47,98.16,97.99,0.37,3.43,3.65,0.36
화학과,11,107,9.73,6번,98.69,0.5,99.19,99.06,0.19,2.28,2.4,0.26
생명과학과,12,131,10.92,10번,98.73,0.5,99.23,99.08,0.26,2.25,2.5,0.38
미생물학과,10,171,17.1,11번,98.04,0.5,98.54,98.48,0.16,2.9,2.98,0.36
분자생물학과,8,104,13,8번,98.31,0.49,98.8,98.69,0.26,2.68,2.65,0.25
지질환경과학과,10,153,15.3,6번,97.44,0.49,97.92,97.87,0.27,3.62,3.68,0.31
대기환경과학과,7,111,15.86,3번,98.17,0.47,98.64,98.64,0.29,2.81,2.86,0.32
해양학과,12,164,13.67,3번,97.61,0.48,98.09,97.88,0.32,3.37,3.53,0.29
기계공학부,70,879,12.56,77번,98.87,0.5,99.37,99.25,0.19,2.13,2.26,0.23
고분자공학과,10,193,19.3,11번,98.69,0.5,99.19,99.06,0.25,2.34,2.42,0.24
유기소재시스템공학과,13,161,12.38,14번,98.37,0.5,98.87,98.74,0.25,2.67,2.86,0.29
화공생명.환경공학부(화공생명공학전공),13,203,15.62,17번,99.35,0.5,99.85,99.79,0.18,1.61,1.69,0.17
화공생명.환경공학부(환경공학전공),11,154,14,5번,98.54,0.5,99.04,98.96,0.28,2.43,2.54,0.27
재료공학부,18,211,11.72,15번,98.61,0.5,99.1,98.99,0.19,2.46,2.55,0.28
전자공학과,18,261,14.5,36번,99.04,0.5,99.54,99.45,0.15,1.93,1.96,0.14
전기공학과,14,321,22.93,18번,98.77,0.5,99.27,99.22,0.08,2.22,2.3,0.2
건설융합학부(건축공학전공),9,141,15.67,3번,98.09,0.49,98.58,98.5,0.15,2.98,2.92,0.27
건설융합학부(건축학전공),8,160,20,11번,98.18,0.48,98.66,98.48,0.4,2.82,2.98,0.52
건설융합학부(도시공학전공),9,132,14.67,2번,97.79,0.49,98.28,98.05,0.38,3.23,3.3,0.34
건설융합학부(토목공학전공),12,239,19.92,16번,97.81,0.48,98.29,98.17,0.26,3.26,3.4,0.42
항공우주공학과,13,190,14.62,16번,98.35,0.5,98.85,98.72,0.42,2.62,2.72,0.47
산업공학과,13,168,12.92,11번,98.34,0.49,98.83,98.66,0.25,2.61,2.74,0.27
조선해양공학과,19,281,14.79,8번,97.77,0.48,98.25,98.17,0.15,3.21,3.27,0.18
국어교육과,8,75,9.38,20번,98.33,0.49,98.83,98.81,0.34,2.66,2.84,0.34
영어교육과,8,76,9.5,10번,98.99,0.5,99.49,99.52,0.19,1.92,1.93,0.2
독어교육과,9,68,7.56,9번,97.62,0.44,98.07,97.95,0.43,3.3,3.37,0.45
교육학과,3,25,8.33,1번,98.54,0.5,99.04,99.1,0.36,2.4,2.41,0.38
유아교육과,6,81,13.5,1번,98.6,0.49,99.08,98.96,0.23,2.39,2.55,0.24
